,Definition,Denominator,DenominatorUnweightedId,DenominatorWeightedId,IndicatorId,IndicatorOldId,IndicatorOrder,IndicatorSpecial1Id,IndicatorSpecial2Id,IndicatorTotalId,IndicatorType,IsQuickStat,Label,Level1,Level2,Level3,MeasurementType,NumberScale,QuickStatOrder,SDRID,ShortName,TagIds
1636,Percentage of children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought from a private fieldworker,Children under age three/five with diarrhea in the two weeks preceding the survey,CH_DISS_C_UNW,CH_DISS_C_NUM,CH_DISS_C_PFW,,94106160,,,,I,0,"Among children with diarrhea, advice or treatment sought from a private fieldworker",Child Health,Source of advice or treatment among children with diarrhea,Children,Percent,1,,CHDISSCPFW,Private fieldworker,
1637,Percentage of children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought from another private sector facility,Children under age three/five with diarrhea in the two weeks preceding the survey,CH_DISS_C_UNW,CH_DISS_C_NUM,CH_DISS_C_POT,,94106170,,,,I,0,"Among children with diarrhea, advice or treatment sought from another private sector facility",Child Health,Source of advice or treatment among children with diarrhea,Children,Percent,1,,CHDISSCPOT,Other private sector,
1638,Percentage of children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought from a non-medical source,Children under age three/five with diarrhea in the two weeks preceding the survey,CH_DISS_C_UNW,CH_DISS_C_NUM,CH_DISS_C_OSR,,94106210,,,,I,0,"Among children with diarrhea, advice or treatment sought from a non-medical source",Child Health,Source of advice or treatment among children with diarrhea,Children,Percent,1,,CHDISSCOSR,Other source,
1639,Percentage of children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought from a shop,Children under age three/five with diarrhea in the two weeks preceding the survey,CH_DISS_C_UNW,CH_DISS_C_NUM,CH_DISS_C_SHP,,94106220,,,,I,0,"Among children with diarrhea, advice or treatment sought from a shop",Child Health,Source of advice or treatment among children with diarrhea,Children,Percent,1,,CHDISSCSHP,Shop,
1640,Percentage of children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought from a traditional practitioner,Children under age three/five with diarrhea in the two weeks preceding the survey,CH_DISS_C_UNW,CH_DISS_C_NUM,CH_DISS_C_TRP,,94106230,,,,I,0,"Among children with diarrhea, advice or treatment sought from a traditional practitioner",Child Health,Source of advice or treatment among children with diarrhea,Children,Percent,1,,CHDISSCTRP,Traditional practitioner,
1641,Percentage of children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought from a market,Children under age three/five with diarrhea in the two weeks preceding the survey,CH_DISS_C_UNW,CH_DISS_C_NUM,CH_DISS_C_MKT,,94106240,,,,I,0,"Among children with diarrhea, advice or treatment sought from a market",Child Health,Source of advice or treatment among children with diarrhea,Children,Percent,1,,CHDISSCMKT,Market,
1642,Percentage of children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought from an itinerant drug seller,Children under age three/five with diarrhea in the two weeks preceding the survey,CH_DISS_C_UNW,CH_DISS_C_NUM,CH_DISS_C_IDS,,94106250,,,,I,0,"Among children with diarrhea, advice or treatment sought from an itinerant drug seller",Child Health,Source of advice or treatment among children with diarrhea,Children,Percent,1,,CHDISSCIDS,Itinerant drug seller,
1643,Percentage of children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought from any other source,Children under age three/five with diarrhea in the two weeks preceding the survey,CH_DISS_C_UNW,CH_DISS_C_NUM,CH_DISS_C_OTH,,94106270,,,,I,0,"Among children with diarrhea, advice or treatment sought from any other source",Child Health,Source of advice or treatment among children with diarrhea,Children,Percent,1,,CHDISSCOTH,Other,
1644,Number of children under age 5 with diarrhea in the 2 weeks preceding the survey,Children under age three/five with diarrhea in the two weeks preceding the survey,CH_DISS_C_UNW,,CH_DISS_C_NUM,,94106280,,,,D,0,Number of children with diarrhea,Child Health,Source of advice or treatment among children with diarrhea,Children,Number,0,,CHDISSCNUM,Number of children,
1645,Number of children under age 5 with diarrhea in the 2 weeks preceding the survey (unweighted),Children under age three/five with diarrhea in the two weeks preceding the survey,,CH_DISS_C_NUM,CH_DISS_C_UNW,,94106290,,,,U,0,Number of children with diarrhea (unweighted),Child Health,Source of advice or treatment among children with diarrhea,Children,Number,0,,CHDISSCUNW,Number of children (unweighted),
1646,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a public sector facility",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_PUB,,94116010,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a public sector facility",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACPUB,Public sector,
1647,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a government hospital",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_GHS,,94116020,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a government hospital",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACGHS,Government hospital,
1648,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a government health center",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_GHC,,94116030,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a government health center",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACGHC,Government health center,
1649,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a government health post ",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_GFP,,94116040,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a government health post ",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACGFP,Government health post ,
1650,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a public mobile clinic",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_GMB,,94116050,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a public mobile clinic",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACGMB,Public mobile clinic,
1651,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a public fieldworker",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_GFW,,94116060,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a public fieldworker",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACGFW,Public Fieldworker,
1652,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from another public sector facility",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_GOT,,94116070,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from another public sector facility",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACGOT,Other public sector,
1653,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a private medical sector facility",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_PRV,,94116110,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a private medical sector facility",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACPRV,Private medical sector,
1654,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a private hospital/clinic",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_PHS,,94116120,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a private hospital/clinic",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACPHS,Private hospital/clinic,
1655,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a private pharmacy",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_PPH,,94116130,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a private pharmacy",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACPPH,Private pharmacy,
1656,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a private doctor",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_PDR,,94116140,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a private doctor",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACPDR,Private doctor,
1657,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a private mobile clinic",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_PMB,,94116150,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a private mobile clinic",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACPMB,Private mobile clinic,
1658,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a private fieldworker",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_PFW,,94116160,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a private fieldworker",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACPFW,Private fieldworker,
1659,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from another private sector facility",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_POT,,94116170,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from another private sector facility",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACPOT,Other private sector,
1660,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a non-medical source",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_OSR,,94116210,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a non-medical source",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACOSR,Other source,
1661,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a shop",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_SHP,,94116220,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a shop",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACSHP,Shop,
1662,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a traditional practitioner",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_TRP,,94116230,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a traditional practitioner",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACTRP,Traditional practitioner,
1663,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from a market",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_MKT,,94116240,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from a market",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACMKT,Market,
1664,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from an itinerant drug seller",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_IDS,,94116250,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from an itinerant drug seller",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACIDS,Itinerant drug seller,
1665,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought, percentage for whom advice or treatment was sought from any other source",Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,CH_DISA_C_NUM,CH_DISA_C_OTH,,94116270,,,,I,0,"Among children with diarrhea for whom advice or treatment was sought, children receiving from any other source",Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Percent,1,,CHDISACOTH,Other,
1666,Number of children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought,Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,CH_DISA_C_UNW,,CH_DISA_C_NUM,,94116280,,,,D,0,Number of children with diarrhea for whom advice or treatment was sought,Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Number,0,,CHDISACNUM,Number of children,
1667,Number of children under age 5 with diarrhea in the 2 weeks preceding the survey for whom advice or treatment was sought (unweighted),Children under age three/five with diarrhea in the two weeks preceding the survey for whom advice or treatment was sought ,,CH_DISA_C_NUM,CH_DISA_C_UNW,,94116290,,,,U,0,Number of children with diarrhea for whom advice or treatment was sought (unweighted),Child Health,Source of advice or treatment among children with diarrhea for whom advice or treatment was sought,Children,Number,0,,CHDISACUNW,Number of children (unweighted),
1668,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a public sector facility",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_PUB,,94126010,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a public sector facility",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCPUB,Public sector,
1669,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a government hospital",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_GHS,,94126020,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a government hospital",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCGHS,Government hospital,
1670,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a government health center",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_GHC,,94126030,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a government health center",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCGHC,Government health center,
1671,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a government health post ",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_GFP,,94126040,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a government health post ",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCGFP,Government health post ,
1672,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a public mobile clinic",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_GMB,,94126050,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a public mobile clinic",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCGMB,Public mobile clinic,
1673,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a public fieldworker",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_GFW,,94126060,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a public fieldworker",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCGFW,Public Fieldworker,
1674,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from another public sector facility",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_GOT,,94126070,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from another public sector facility",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCGOT,Other public sector,
1675,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a private medical sector facility",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_PRV,,94126110,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a private medical sector facility",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCPRV,Private medical sector,
1676,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a private hospital/clinic",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_PHS,,94126120,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a private hospital/clinic",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCPHS,Private hospital/clinic,
1677,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a private pharmacy",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_PPH,,94126130,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a private pharmacy",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCPPH,Private pharmacy,
1678,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a private doctor",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_PDR,,94126140,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a private doctor",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCPDR,Private doctor,
1679,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a private mobile clinic",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_PMB,,94126150,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a private mobile clinic",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCPMB,Private mobile clinic,
1680,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a private fieldworker",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_PFW,,94126160,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a private fieldworker",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCPFW,Private fieldworker,
1681,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from another private sector facility",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_POT,,94126170,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from another private sector facility",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCPOT,Other private sector,
1682,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a non-medical source",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_OSR,,94126210,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a non-medical source",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCOSR,Other source,
1683,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a shop",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_SHP,,94126220,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a shop",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCSHP,Shop,
1684,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a traditional practitioner",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_TRP,,94126230,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a traditional practitioner",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCTRP,Traditional practitioner,
1685,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from a market",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_MKT,,94126240,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from a market",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCMKT,Market,
1686,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from an itinerant drug seller",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_IDS,,94126250,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from an itinerant drug seller",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCIDS,Itinerant drug seller,
1687,"Among children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS, percentage who received ORS from any other source",Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,CH_DISO_C_NUM,CH_DISO_C_OTH,,94126270,,,,I,0,"Among children with diarrhea who received ORS, advice or treatment from any other source",Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Percent,1,,CHDISOCOTH,Other,
1688,Number of children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS,Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,CH_DISO_C_UNW,,CH_DISO_C_NUM,,94126280,,,,D,0,Number of children with diarrhea who received ORS,Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Number,0,,CHDISOCNUM,Number of children,
1689,Number of children under age 5 with diarrhea in the 2 weeks preceding the survey who received ORS (unweighted),Children under age three/five with diarrhea in the two weeks preceding the survey who received ORS ,,CH_DISO_C_NUM,CH_DISO_C_UNW,,94126290,,,,U,0,Number of children with diarrhea who received ORS (unweighted),Child Health,Source of advice or treatment among children with diarrhea who received ORS,Children,Number,0,,CHDISOCUNW,Number of children (unweighted),
1690,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who received an increased amount of fluids,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_LMR,88260001,94136010,CH_DIFP_C_LDK,,CH_DIFP_C_LTO,I,0,Feeding practices during diarrhea: Increased amount of fluids,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCLMR,"Amount of liquids given, More",20
1691,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who received the same amount of fluids,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_LSM,88260000,94136020,CH_DIFP_C_LDK,,CH_DIFP_C_LTO,I,0,Feeding practices during diarrhea: Same amount of fluids,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCLSM,"Amount of liquids given, Same as usual",20
1692,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who received somewhat less fluids,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_LLS,,94136030,CH_DIFP_C_LDK,,CH_DIFP_C_LTO,I,0,Feeding practices during diarrhea: Somewhat less fluids,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCLLS,"Amount of liquids given, Somewhat less",20
1693,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who received much less fluids,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_LML,,94136040,CH_DIFP_C_LDK,,CH_DIFP_C_LTO,I,0,Feeding practices during diarrhea: Much less fluids,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCLML,"Amount of liquids given, Much less",20
1694,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who received a decreased amount of fluids,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_LDC,88260002,94136050,CH_DIFP_C_LDK,,CH_DIFP_C_LTO,I,0,Feeding practices during diarrhea: Decreased amount of fluids,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCLDC,"Amount of liquids given, Decreased amount of fluids",20
1695,Percentage of children born in the five (or three) years preceding the survey who had diarrhea in the two weeks preceding the survey who stopped receiving fluids completely,Children under age five (or three) who had diarrhea in the two weeks preceding the survey,CH_DIFP_C_UNW,CH_DIFP_C_NUM,CH_DIFP_C_LNO,88260003,94136060,CH_DIFP_C_LDK,,CH_DIFP_C_LTO,I,0,Feeding practices during diarrhea: Stopped fluids completely,Child Health,Feeding practices during diarrhea,Children,Percent,1,,CHDIFPCLNO,"Amount of liquids given, None ",20
